Fragment,Nazwa,Tempo,Długość,Dominanta,Czas gramatyczny,Dystans narratora,Głos Jonasa,Stan Jonasa,Czego Jonas chce,Co Jonas robi,Stan Mirelli,Czego Mirella chce,Co Mirella robi,Stan ojca,Czego ojciec chce,Co ojciec robi,Łuk Jonas-Mirella,Łuk Jonas-ojciec
1,Spotkanie z Janą,średnie,krótki,dialog/ruch,przeszły,bliski,Jonas opowiada/komentuje,zamknięty/w rytmie pracy,spokój/unikanie,pracuje/milczy,-,-,-,nieobecny/ale słyszalny,porządek/praca,ostrzy narzędzia,-,-
2,Praca z różami,wolne,średni,ciało/zmysły/cisza,przeszły,bardzo bliski,Jonas w ciele/w zmysłach,zamknięty/w rytmie pracy,spokój/unikanie,pracuje/milczy,-,-,-,-,-,-,-,-
3,Wspomnienie Mirelli,wolne,krótki,ciało/zmysły/napięcie,przeszły,bliski,Jonas wspomina/ale ciało obecne,wspomina Mirellę,bliskość?,nie wie/wycofuje się,wspomnienie,wiedza/tajemnice,pracuje/milczy,-,-,-,bliskość/ale dystans,-
4,Spotkanie z ojcem,średnie,średni,dialog/przejście,przeszły,bliski,Jonas obserwuje/reaguje,w cieniu ojca,pójść na święto,ustępuje ojcu,-,-,-,autorytet,przygotować syna/ochronić?,każe naprawić ubijak/potem puszcza,-,konflikt/ustępstwo/pozwolenie
5,Rozmowa z Mirellą,szybkie,średni,dialog/ruch/energia,przeszły,bliski,Jonas słucha/podąża,prowadzony przez Mirellę,być z nią,idzie za nią,radosna/pełna energii,podzielić się z Jonasem/zbliżyć się,prowadzi go,-,-,-,ona prowadzi,-
6,Nemeton,wolne/zawieszone,długi,zmysły/cisza/ciało,przeszły,bardzo bliski,Jonas w ciele/zmysły dominują,obecny/w ciele,ona,decyduje (gest)/jest z nią,zdenerwowana/odważna,być z nim,daje mu wybór/otwiera się,-,-,-,on decyduje,-
7,Spotkanie z tarwosem,gwałtowne,średni,akcja/ciało/zagrożenie,przeszły,bliski/potem zewnętrzny,Jonas obserwuje/analizuje zagrożenie,obrońca,chronić ją,wysuwa się przed nią,przestraszona,przeżyć,trzyma go/milczy,-,-,-,on ją chroni,-
8,Poszukiwania ojca,szybkie/potem stop,średni,ruch/ślady/odkrycie,przeszły,zewnętrzny,Jonas tropi/czyta ślady,syn,znaleźć ojca,tropi/szuka,obecna/ale na marginesie,pomagać,zajmuje się rannymi,martwy,-,-,-,syn szuka ojca
9,Dysocjacja,staccato,długi,powtórzenie/elipsa/brak emocji,teraźniejszy,maksymalny,Jonas nieobecny/samo ciało działa,nieobecny,nic,wykonuje wyuczone czynności,obecna/ale na marginesie,pomagać,zajmuje się rannymi/Janą,wspomnienie (wózek z Duranem),-,nie potępia/zwraca uwagę,ona przychodzi/on nie reaguje,wspomnienie:  ojciec nie potępia
10,Pogrzeb,wolne/potem zerwanie,długi,ciało/ziemia/cisza/pęknięcie,przeszły (powrót),bliski/potem bardzo bliski,Jonas wraca do siebie przez ciało,powraca,żeby to się skończyło,kopie/walczy z kamieniem/upada,przychodzi do niego,być z nim,przytula/mówi/odchodzi z Janą,ciało w całunie,-,-,ona przytula/on stoi bez ruchu,Jonas chowa ojca/przejmuje jego rolę